DAY,MONTH,MONTH_ID,YEAR,CAUSE,GROSS INCURRED AMOUNT
 13 ,May,5,1999,ACCIDENTAL DAMAGE,£263
 14 ,May,5,1999,ACCIDENTAL DAMAGE,£0
 14 ,May,5,1999,ACCIDENTAL DAMAGE,£0
 14 ,May,5,1999,THEFT,£180
 14 ,May,5,1999,ESCAPE OF WATER,£123
 15 ,May,5,1999,ESCAPE OF WATER,£0
 15 ,May,5,1999,THEFT,£287
 15 ,May,5,1999,ACCIDENTAL DAMAGE,£173
 15 ,May,5,1999,WINDSTORM,£315
 15 ,May,5,1999,THEFT,£132
 15 ,May,5,1999,ACCIDENTAL DAMAGE,£94
 15 ,May,5,1999,FIRE,£380
 16 ,May,5,1999,ACCIDENTAL DAMAGE,£140
 17 ,May,5,1999,ACCIDENTAL DAMAGE,£85
 17 ,May,5,1999,ESCAPE OF WATER,£330
 17 ,May,5,1999,ACCIDENTAL DAMAGE,£334
 18 ,May,5,1999,ACCIDENTAL DAMAGE,£480
 18 ,May,5,1999,ACCIDENTAL DAMAGE,£81
 18 ,May,5,1999,THEFT,£604
 18 ,May,5,1999,FIRE,£0
 18 ,May,5,1999,ACCIDENTAL DAMAGE,£0
 18 ,May,5,1999,FIRE,£0
 18 ,May,5,1999,ACCIDENTAL DAMAGE,£484
 19 ,May,5,1999,ACCIDENTAL DAMAGE,£0
 19 ,May,5,1999,ACCIDENTAL DAMAGE,£69
 20 ,May,5,1999,ESCAPE OF WATER,£0
 20 ,May,5,1999,WINDSTORM,£930
 20 ,May,5,1999,THEFT,"£2,896"
 20 ,May,5,1999,THEFT,"£1,465"
 20 ,May,5,1999,ESCAPE OF WATER,"£1,541"
 21 ,May,5,1999,ACCIDENTAL DAMAGE,£172
 21 ,May,5,1999,THEFT,"£1,438"
 21 ,May,5,1999,ACCIDENTAL DAMAGE,£174
 21 ,May,5,1999,ACCIDENTAL DAMAGE,£136
 21 ,May,5,1999,THEFT,£80
 21 ,May,5,1999,WINDSTORM,£497
 22 ,May,5,1999,ACCIDENTAL DAMAGE,£50
 22 ,May,5,1999,FIRE,£176
 22 ,May,5,1999,ESCAPE OF WATER,£399
 22 ,May,5,1999,THEFT,£35
 22 ,May,5,1999,ACCIDENTAL DAMAGE,£470
 23 ,May,5,1999,FIRE,£418
 23 ,May,5,1999,ACCIDENTAL DAMAGE,£0
 23 ,May,5,1999,ESCAPE OF WATER,£511
 23 ,May,5,1999,WINDSTORM,£0
 24 ,May,5,1999,ACCIDENTAL DAMAGE,£74
 25 ,May,5,1999,THEFT,£0
 25 ,May,5,1999,ESCAPE OF WATER,£154
 25 ,May,5,1999,ESCAPE OF WATER,£450
 25 ,May,5,1999,ACCIDENTAL DAMAGE,£0
 26 ,May,5,1999,THEFT,£789
 26 ,May,5,1999,ACCIDENTAL DAMAGE,£169
 26 ,May,5,1999,FIRE,£288
 26 ,May,5,1999,FIRE,£141
 26 ,May,5,1999,ESCAPE OF WATER,"£2,391"
 27 ,May,5,1999,WINDSTORM,£150
 27 ,May,5,1999,THEFT,"£1,722"
 27 ,May,5,1999,FLOOD          ,"£1,975"
 27 ,May,5,1999,THEFT,£212
 27 ,May,5,1999,WINDSTORM,£834
 27 ,May,5,1999,WINDSTORM,£180
 27 ,May,5,1999,ACCIDENTAL DAMAGE,£211
 27 ,May,5,1999,FIRE,£0
 28 ,May,5,1999,ACCIDENTAL DAMAGE,£140
 28 ,May,5,1999,ACCIDENTAL DAMAGE,£110
 28 ,May,5,1999,ACCIDENTAL DAMAGE,£265
 28 ,May,5,1999,ACCIDENTAL DAMAGE,£140
 28 ,May,5,1999,THEFT,£838
 28 ,May,5,1999,ACCIDENTAL DAMAGE,£0
 28 ,May,5,1999,ACCIDENTAL DAMAGE,£0
 29 ,May,5,1999,WINDSTORM,£243
 29 ,May,5,1999,WINDSTORM,£719
 29 ,May,5,1999,WINDSTORM,£72
 29 ,May,5,1999,WINDSTORM,£894
 29 ,May,5,1999,WINDSTORM,£378
 29 ,May,5,1999,ACCIDENTAL DAMAGE,£963
 29 ,May,5,1999,WINDSTORM,£141
 29 ,May,5,1999,WINDSTORM,£505
 29 ,May,5,1999,WINDSTORM,£311
 29 ,May,5,1999,WINDSTORM,£176
 29 ,May,5,1999,ESCAPE OF WATER,£499
 29 ,May,5,1999,ACCIDENTAL DAMAGE,£145
 29 ,May,5,1999,WINDSTORM,"£1,306"
 30 ,May,5,1999,WINDSTORM,£405
 30 ,May,5,1999,THEFT,£779
 30 ,May,5,1999,ACCIDENTAL DAMAGE,£260
